platform,city,restaurant_name,rating,eta,product_name,price,url,scrape_time
uber_eats,CDMX,McDonald's Centro,4.6,10 min,2 hamburguesas con queso + 2 mcpollo + 2 papas grandes + 1 nuggets de 6 piezas,$115,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465563
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mcnuggets de 10,$69,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465563
uber_eats,CDMX,McDonald's Centro,4.6,10 min,cajita feliz mcnuggets 4 piezas,$70,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465564
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mcnuggets de 6,$59,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465565
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo whopper,$99,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428394
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo whopper + pay o 4 nuggets gratis,$105,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428401
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo mega stacker doble,$119,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428402
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo king de pollo,$95,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428404
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,10 nuggets,$69,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428405
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo 3 quesos y tocino crispy king,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428406
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo xtreme,$115,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428407
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo honey chipotle crispy king,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428408
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo 10 nuggets,$85,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428409
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo long rodeo,$89,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428410
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo mega stacker chipotle doble,$119,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428411
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combos para 1,$95,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428412
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo king de pollo,$95,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428413
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo whopper + pay o 4 nuggets gratis,$105,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428414
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,10 nuggets,$69,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428415
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo whopper,$99,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428416
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo whopper doble con queso,$119,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428417
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo king de pollo,$95,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428418
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo long rodeo,$89,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428419
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo 10 nuggets,$85,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428420
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo guacamole crunch king,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428422
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo xtreme,$115,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428422
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo mega stacker doble,$119,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428423
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo mega stacker chipotle doble,$119,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428424
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo classic crispy king,$99,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428425
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo 3 quesos y tocino crispy king,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428426
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo honey chipotle crispy king,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428427
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,elige tu combo boneless,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428429
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,10 nuggets,$69,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428430
